Feature,Importance
PSH Flag Count,0.08149466492430073
Avg Bwd Segment Size,0.05477641324065219
Fwd IAT Total,0.052524034675566614
Fwd IAT Max,0.05060874400963089
Bwd Packet Length Mean,0.04956478014407435
Fwd IAT Std,0.04904326103731858
Flow Duration,0.04883204364071279
Flow IAT Mean,0.04678253887773501
Bwd Packet Length Std,0.044708008186890066
Flow IAT Std,0.044045478493143116
Flow IAT Max,0.043898837800403455
Average Packet Size,0.04248967580586858
Bwd Packet Length Max,0.04154719023291976
Packet Length Std,0.04144167401171486
Packet Length Mean,0.037661119041896875
Max Packet Length,0.03226566746085337
Flow IAT Min,0.031087971334300253
ACK Flag Count,0.027461888502896208
Bwd IAT Std,0.025362046435658328
Min Packet Length,0.021369189881811867
Idle Max,0.02060818302503166
Idle Mean,0.020316231116817005
Packet Length Variance,0.019589309522175087
Idle Min,0.018839692487399372
Subflow Fwd Bytes,0.017679514204064984
Bwd IAT Min,0.015154945397381108
Active Mean,0.007814446586537249
Active Min,0.006640676065133421
FIN Flag Count,0.004491943863711616
Active Std,0.0018998299934006146
