Feature,Importance
Bwd Packet Length Mean,0.05885060390641216
Avg Bwd Segment Size,0.05529767240818375
Subflow Fwd Bytes,0.05484564941306033
Fwd IAT Max,0.0509503049753788
Bwd Packet Length Std,0.05015733934357859
Flow IAT Mean,0.04897322975007379
Bwd Packet Length Max,0.04857909700853416
Fwd IAT Total,0.04750930480373987
Flow IAT Max,0.046897819987488175
Flow Duration,0.0433890570308567
Flow IAT Std,0.041102494096730856
Max Packet Length,0.040535659061286415
Packet Length Variance,0.04018030842138205
Average Packet Size,0.03946481711541271
Packet Length Std,0.03827210839158878
Packet Length Mean,0.03710218419783069
Fwd IAT Std,0.036761735645676696
Min Packet Length,0.03546527589572697
Flow IAT Min,0.030933533743009355
Bwd IAT Std,0.025347643738201094
Bwd IAT Min,0.021938513827103698
PSH Flag Count,0.020841287438757027
Active Min,0.015728288470243965
Idle Mean,0.014993240969718633
Idle Max,0.013978568728257196
Active Mean,0.013281269635339949
ACK Flag Count,0.012820364827276024
Idle Min,0.012649939935077832
Active Std,0.0017825211629398593
FIN Flag Count,0.0013701660711338862
