,precision,recall,f1-score,support
BENIGN,0.9987716660262791,0.9976337691066345,0.9982023932812748,330906.0
Bot,0.6030534351145038,0.8843283582089553,0.7170953101361573,268.0
DDoS,0.9987505856629705,0.9991016677733078,0.9989260958703505,25603.0
DoS GoldenEye,0.9439295644114921,0.9907587548638133,0.9667774086378738,2056.0
DoS Hulk,0.9932997349025549,0.9912206750196226,0.9922591159095538,34399.0
DoS Slowhttptest,0.9296663660955816,0.9866028708133971,0.957288765088208,1045.0
DoS slowloris,0.9870250231696015,0.9888579387186629,0.9879406307977736,1077.0
FTP-Patator,0.9833472106577852,0.9949452401010952,0.9891122278056952,1187.0
Heartbleed,1.0,1.0,1.0,2.0
Infiltration,1.0,0.5714285714285714,0.7272727272727273,7.0
PortScan,0.8842364532019704,0.9324675324675324,0.9077117572692794,385.0
SSH-Patator,0.8998505231689088,0.9540412044374009,0.9261538461538461,631.0
Web Attack � Brute Force,0.6704980842911877,0.6140350877192983,0.6410256410256411,285.0
Web Attack � Sql Injection,0.2222222222222222,0.5,0.3076923076923077,4.0
Web Attack � XSS,0.24778761061946902,0.4307692307692308,0.3146067415730337,130.0
accuracy,0.9963968491274797,0.9963968491274797,0.9963968491274797,0.9963968491274797
macro avg,0.8241625653029683,0.8557460600951681,0.8288043312342482,397985.0
weighted avg,0.9967325241836847,0.9963968491274797,0.9965287717032874,397985.0
